path	class	in_feature_set	candidate_state	upstream_state	candidate_differs_upstream	accepted_differs_upstream	candidate_blob	upstream_blob
src/gateway/worker-environments/worker-session-tool-executor.test.ts	test-file	no	present	present	no	yes	ae42b88d2f47cca5c5cac8021365bae05a2be73c	ae42b88d2f47cca5c5cac8021365bae05a2be73c
src/gateway/worker-environments/worker-turn-rpc.test.ts	test-file	no	present	present	no	yes	1ac4492b4e0ec1e03f035c1ef8bacb80893452d8	1ac4492b4e0ec1e03f035c1ef8bacb80893452d8
src/infra/heartbeat-runner.returns-default-unset.test.ts	test-file	yes	present	present	yes	yes	f4cff7f1ea8acf8b7c19dd0c3f33c32c9cfe9630	d801cd408f4cd24779a3bb60d63263b4e64c0e2f
src/infra/heartbeat-runner.targeted-unscheduled-wake.test.ts	test-file	yes	present	present	yes	yes	80ed4d679ab38abda10a1b4bc6da5b50d5b337a3	6b8e87ae5bb2f9598047ab147966534fe04bdee7
src/infra/heartbeat-wake.transcript-context.test.ts	test-file	no	present	present	yes	yes	e61ea93f9e1f18c52db46a7c0ecb98a80b3c8bfa	3bb022623766eec2d431badd4889e56aea911505
src/infra/outbound/deliver.queue-integration.test.ts	test-file	no	present	present	no	yes	c7bac8dc38808a77c908f0bb5d7010070f7a62df	c7bac8dc38808a77c908f0bb5d7010070f7a62df
src/infra/outbound/deliver.test.ts	test-file	no	present	present	no	yes	e8a55f1c8bbabb413f227d2944d558e976299678	e8a55f1c8bbabb413f227d2944d558e976299678
src/infra/outbound/message-action-send.test.ts	test-file	no	present	present	no	yes	a435dc251828486396b5dca18e54aeb40327ec0e	a435dc251828486396b5dca18e54aeb40327ec0e
src/infra/unhandled-rejections.plugin-sync-hooks.test.ts	test-file	no	present	present	no	yes	d032c72dd43e2191e84731599324ec7b49ad44bd	d032c72dd43e2191e84731599324ec7b49ad44bd
src/infra/update-runner.test.ts	test-file	no	present	present	no	yes	fdf0caee12021cc684075142296411333ecc6a80	fdf0caee12021cc684075142296411333ecc6a80
src/link-understanding/runner.transport.test.ts	test-file	no	present	present	no	yes	7362505b5af4f80618b298c8bd8ab47eb8cd2304	7362505b5af4f80618b298c8bd8ab47eb8cd2304
src/plugin-sdk/provider-auth-write-compat.test.ts	test-file	no	present	present	no	yes	0954b2143cd7e50d8f312ef84106837249b153b8	0954b2143cd7e50d8f312ef84106837249b153b8
src/plugins/hooks.before-tool-call.test.ts	test-file	no	present	present	no	yes	28fe5a061369a504b6b0aef9bec3b15a8a85ea99	28fe5a061369a504b6b0aef9bec3b15a8a85ea99
src/plugins/plugin-entry-order.test.ts	test-file	no	present	present	no	yes	3abb977b8c26c305480974d10c660cdc770055b3	3abb977b8c26c305480974d10c660cdc770055b3
src/plugins/registry.service-registration.test.ts	test-file	no	present	present	no	yes	78d6e50f21df88e4ff2815ef60fe12ca5584ea7c	78d6e50f21df88e4ff2815ef60fe12ca5584ea7c
src/plugins/runtime/runtime-embedded-agent.runtime.test.ts	test-file	no	present	present	no	yes	b0cf9767f26f75c15a67b4cf450ce53cd84dca43	b0cf9767f26f75c15a67b4cf450ce53cd84dca43
src/plugins/setup-registry.lifecycle.test.ts	test-file	no	present	present	no	yes	06597e844d2d0f85f630ef8d4bc75f76c350faf0	06597e844d2d0f85f630ef8d4bc75f76c350faf0
src/plugins/setup-registry.test.ts	test-file	no	present	present	no	yes	05556dc7edaea6b2ae35d09ec9eddec6221b65ab	05556dc7edaea6b2ae35d09ec9eddec6221b65ab
src/process/supervisor/registry.test.ts	test-file	no	present	present	no	yes	618114b27f43035296d455ee6406c06e42c31db5	618114b27f43035296d455ee6406c06e42c31db5
