path	class	in_feature	base_blob	source_blob	upstream_blob	candidate_blob	upstream_candidate_numstat
src/agents/embedded-agent-runner/run/attempt-stream-prepare.test.ts	test-file	yes	1c14283b306ea30812fdfad5b94eb87c2b43ac4e	ae26bda4f77f26ffa01ff8e09b2a16f72f541fb4	b451da443f0a4399618c7ab0d59ba70cb8dc9904	bdd692db52f4d8518943850cdc7935d97ac35d34	+15/-6
src/agents/subagents/registry/subagent-registry-restart-recovery.test.ts	test-file	yes	9f8e80741eee5511f8eb7c05bdafadcc254d0d22	deb5c95810bc6a1e44a7c58a6009a24132ff822c	04f216bc67ed4b5c4d5088366e71e516046940c5	6aa05e272a34d01d193e9b2baa8d36af70b67465	+59/-1
src/agents/subagents/registry/subagent-registry.lifecycle-retry-grace.e2e.test.ts	test-file	yes	ea4025ba6b8ed5cb3152f74301a5ae2b007ccfbc	eab914a12f7136cd9fe5656463ff57c72e381b63	0a96099989e425f684aaa39382d3dd06e00b99bf	eceff5422d8debb5a5553fafbd1e1f4c55e1aedb	+45/-20
src/agents/subagents/spawn/subagent-spawn.in-process-gateway.test.ts	test-file	yes	b6211f2685311db752f9a532ef84df41e0e3c256	9ad4aac773f5965d00f3c97fa9eb2715e57adac4	9c81444f2aded8937fc6a36cf1afaf96c410ff2d	3b8342095d11f4954f7a835c5b856f66a1d17cdf	+21/-4
src/agents/tools/sessions-spawn-tool.test.ts	test-file	yes	5e6a28a607a2a5da0fd40dd09abee5145ccaf8ab	a1a2183f08709720cdc40838f629f07724fb323a	36e2eda624a4e171841811853fff19d811208d14	3618a07ac53c1c34326186d3882bac450bec3113	+3/-1
src/cron/isolated-agent/delivery-dispatch.double-announce.test.ts	test-file	yes	470342603dc9bfbc73bc66400524a980b1b663ec	e6b3742ce60a177dd3b44e004b8998a47f52fc8f	bd62969037e2c928ed35e41fa5f9694e9199a21b	599e94bf27d14ba43629695f2114a7bb70256940	+2/-2
src/gateway/server-cron.test.ts	test-file	yes	e4746c37f5b67367bd01e439ffd8d43c8e8998d9	ea3a9a67f9cb220f0daaf32c167cc1ea5e015007	6b64a10a454437748a919bf0b46109558193063d	90d31f45912848a231df6d2386da6acd9cbb5524	+1/-0
src/gateway/server-methods/server-methods.test.ts	test-file	yes	be721368b98cb8f424dcc903cbde2884b8a5900d	3a6ec00b95202bfb0577fbbc1a1588bb227f5a12	ad12afe88dfd3e4f722440f229d5a4ba5e644be2	1b6c9753b8322b2e69f0ad454a64666905d7e093	+43/-0
src/gateway/server.chat.gateway-server-chat-b.test.ts	test-file	yes	1c5622648e16e6e8c0f8031f73b2d12814dc5c00	178e24931e111a9cd491b81b7ba9c873e6cbb1c3	5bb74205ee8e84d6cae8d400f17270c560194bb4	95dedc72fac8891a4a70053a968120fbd2bab3f8	+224/-0
src/infra/heartbeat-runner.returns-default-unset.test.ts	test-file	yes	44b770bc49a677fa1ec15685063504b3566e712f	a442129adee304f39b1eadd94e2a9a023678598e	d801cd408f4cd24779a3bb60d63263b4e64c0e2f	f4cff7f1ea8acf8b7c19dd0c3f33c32c9cfe9630	+70/-1
src/infra/heartbeat-runner.targeted-unscheduled-wake.test.ts	test-file	yes	91f203c55f753845c710c756748164ffd94fd763	e5e16b27e495cd69afe2b4dc0c8815ed26fff8f5	6b8e87ae5bb2f9598047ab147966534fe04bdee7	80ed4d679ab38abda10a1b4bc6da5b50d5b337a3	+1/-1
src/infra/heartbeat-wake.transcript-context.test.ts	test-file	no	-	-	3bb022623766eec2d431badd4889e56aea911505	e61ea93f9e1f18c52db46a7c0ecb98a80b3c8bfa	+4/-1
src/state/openclaw-state-db.test.ts	test-file	yes	2687aba2849f198df67892125910b8f74c8cfee4	cfe3ff8996f381cb305fd5ab0fe645a2c1a232f5	dca28bc92b3ee0f2667cabe0c2bc84a2177260d3	d6b77531e4f159895089d5ed548f23d2dbabd7fd	+134/-0
ui/src/e2e/session-management.groups.e2e.test.ts	test-file	yes	f1688b26e9890d9279fd555b21c7962ad7ace455	6da0f530a3bc696d961ce36621eede5c3b6d1216	aaa602081ebb21f11ad405559205ca30b700f1cb	3ee9948f22ef178989ff7e7b1303645ba6308edd	+5/-0
ui/src/pages/sessions/view.browser.test.ts	test-file	yes	933c3e6fd762e6e1ecec912327a63dc56b26fa72	11368c5ba183628492c896545050e14cae3edfad	2c0c4de7d3456305b6e08c78ff6e7027cdab90dc	26dd4779ee71faca3b842538522ea3d5db641469	+12/-11
ui/src/styles/cursor-policy.browser.test.ts	test-file	yes	5f11d5866f6c936870d31e4618e172b8e173e623	8971429b8d54373f20f511b65e1cd0bb1504f1f1	4a66f3fe176d1c41cec6de82e734759671b21eb6	ea1639c98032251fdb8bb8a097601fd4e9bc6283	+26/-6
