status_CE_to_PATHD	path	old_path_for_rename	classification	PRH_fc337f05d6	ANC_b474f429ee	ALT_5d127388df	PATHD_bd328fadd6	UPS_origin_main	CE_ce144d00c2	PATHD_equals	CE_equals
M	src/agents/media-generation-task-status-shared.ts		integrated-with-upstream: CE matches current UPS	3deca5a20c6c56dc1178deffea5fb98203e437db	3deca5a20c6c56dc1178deffea5fb98203e437db	d8614f19aafdbbdfb811ad541c2fcd1338fd92f1	3deca5a20c6c56dc1178deffea5fb98203e437db	d8614f19aafdbbdfb811ad541c2fcd1338fd92f1	d8614f19aafdbbdfb811ad541c2fcd1338fd92f1	PRH,ANC,PATHD	ALT,UPS,CE
M	src/agents/model-compat.test.ts		integrated-with-upstream: PATHD equals pre-rebase ALT; CE has replayed/current form	d330d99d1a3d5413595040c1a9e36ad720d5ec18	d330d99d1a3d5413595040c1a9e36ad720d5ec18	d330d99d1a3d5413595040c1a9e36ad720d5ec18	d330d99d1a3d5413595040c1a9e36ad720d5ec18	3df8f504cf3b80c837c45f38245dccb95a916963	b4b4abe09f99e87d15f36d230abae2ed5e5f30d0	PRH,ANC,ALT,PATHD	CE
M	src/agents/run-wait.test.ts		integrated-with-upstream: PATHD equals pre-rebase ALT; CE has replayed/current form	57ae2ad18370d26907a10b835afae60a3a620875	57ae2ad18370d26907a10b835afae60a3a620875	2fa16be44bc96ce7ac2cab620912d29bd337a291	2fa16be44bc96ce7ac2cab620912d29bd337a291	9b8ebf51fde5ea1d18339a75f705241da081ba85	1506a6efa5117e8ae1c25b54f625205d0f327430	ALT,PATHD	CE
M	src/agents/run-wait.ts		integrated-with-upstream: PATHD equals pre-rebase ALT; CE has replayed/current form	0b41e3b24331dd261f2a1689a29e22d57c39d206	0b41e3b24331dd261f2a1689a29e22d57c39d206	6c28203614a2539f630e8acafab73bb713f4879a	6c28203614a2539f630e8acafab73bb713f4879a	1c0ebcfa7e02f4a9f1ba3e852c0cabdb272507ce	32c9bddcad8908c107e9fffc1f97f0b69477144a	ALT,PATHD	CE
M	src/agents/runtime/index.ts		integrated-with-upstream: CE matches current UPS	3790410510d94afc365c22ee0a30909430fb2103	3790410510d94afc365c22ee0a30909430fb2103	3790410510d94afc365c22ee0a30909430fb2103	3790410510d94afc365c22ee0a30909430fb2103	1f9a409f63f898237e863025dbe9b3c5a661f84f	1f9a409f63f898237e863025dbe9b3c5a661f84f	PRH,ANC,ALT,PATHD	UPS,CE
M	src/agents/sessions/compaction/compaction.ts		integrated-with-upstream: CE matches current UPS	d868c379d166c7e4a73b503b1e58e54674ed1ee6	d868c379d166c7e4a73b503b1e58e54674ed1ee6	d868c379d166c7e4a73b503b1e58e54674ed1ee6	d868c379d166c7e4a73b503b1e58e54674ed1ee6	78621f8fa4ff75d41378b4c6c2bfe88c1c86d4be	78621f8fa4ff75d41378b4c6c2bfe88c1c86d4be	PRH,ANC,ALT,PATHD	UPS,CE
M	src/agents/simple-completion-runtime.ts		integrated-with-upstream: PATHD equals pre-rebase ALT; CE has replayed/current form	51f1dcfc280f67c5a2ec6c867a91311c15d55f67	51f1dcfc280f67c5a2ec6c867a91311c15d55f67	51f1dcfc280f67c5a2ec6c867a91311c15d55f67	51f1dcfc280f67c5a2ec6c867a91311c15d55f67	1a07a43f87f63fe30050fbfc8c84a03c290ae23a	ad0d600b3c14f7cb43f3b1e7e6a60b05aa71cdd5	PRH,ANC,ALT,PATHD	CE
M	src/agents/subagent-announce-delivery.test.ts		integrated-with-upstream: CE matches current UPS	d6e0252799d1ab6856ce805209e998284de9463f	d6e0252799d1ab6856ce805209e998284de9463f	6c1913e9dab6a59b36d852787e99fe4a6b4e2866	6c1913e9dab6a59b36d852787e99fe4a6b4e2866	0b907cf0ce1e1d8fbb989a98c435af53eb875b3f	0b907cf0ce1e1d8fbb989a98c435af53eb875b3f	ALT,PATHD	UPS,CE
M	src/agents/subagent-announce-delivery.ts		integrated-with-upstream: PATHD equals pre-rebase ALT; CE has replayed/current form	9cc40314f922e6cca0ff28e3579ffbb69b58f9d5	02935a72360baa9976bb409f6401d745ce555991	108685ddf86d3c6a10d3569589cc66cf395022bc	108685ddf86d3c6a10d3569589cc66cf395022bc	cd8e4c1b837127b17af8ecd685582a991e21726e	eb61ee8a49649831359b1a07eb72ed9a79355019	ALT,PATHD	CE
M	src/agents/subagent-announce-dispatch.ts		integrated-with-upstream: CE matches current UPS	93099865e787212b2fced9ae17fa1629d7f26294	93099865e787212b2fced9ae17fa1629d7f26294	e96c07284b79ad43ea8c2eea23402599402cc50d	e96c07284b79ad43ea8c2eea23402599402cc50d	d01951bcc1d661ea976b67aadf9763d637046d9c	d01951bcc1d661ea976b67aadf9763d637046d9c	ALT,PATHD	UPS,CE
M	src/agents/subagent-announce-output.test.ts		integrated-with-upstream: CE matches current UPS	109f2874659a11a916409126eb52ffc1eb625478	109f2874659a11a916409126eb52ffc1eb625478	109f2874659a11a916409126eb52ffc1eb625478	109f2874659a11a916409126eb52ffc1eb625478	11a4d4e88f38d384f2f4ab8d164b504158aa0fbe	11a4d4e88f38d384f2f4ab8d164b504158aa0fbe	PRH,ANC,ALT,PATHD	UPS,CE
M	src/agents/subagent-announce-output.ts		integrated-with-upstream: CE matches current UPS	eeac7d72c1ff1e232c32802077e0ed21c4ab68b2	eeac7d72c1ff1e232c32802077e0ed21c4ab68b2	eeac7d72c1ff1e232c32802077e0ed21c4ab68b2	eeac7d72c1ff1e232c32802077e0ed21c4ab68b2	ecf596d6fa2787a41bbf7b792577b62a691e93d0	ecf596d6fa2787a41bbf7b792577b62a691e93d0	PRH,ANC,ALT,PATHD	UPS,CE
M	src/agents/subagent-announce.format.e2e.test.ts		integrated-with-upstream: CE already carries ALT substrate	521bbfd2783654d8b6140fff2c34b0eed9344447	e02b4c4264a81128c0ee2a96b08bd823cea2a10b	946279e02fb7884f78b40e4dfa97b6a1226264d0	521bbfd2783654d8b6140fff2c34b0eed9344447	e02b4c4264a81128c0ee2a96b08bd823cea2a10b	946279e02fb7884f78b40e4dfa97b6a1226264d0	PRH,PATHD	ALT,CE
M	src/agents/subagent-registry-run-manager.ts		integrated-with-upstream: PATHD equals pre-rebase ALT; CE has replayed/current form	c77ccc724ba2dfb8bfcdd491b8b5f68772ccf8ca	f756ebc047f5a8a92975855a2a5580c46f7dc9f1	c77ccc724ba2dfb8bfcdd491b8b5f68772ccf8ca	c77ccc724ba2dfb8bfcdd491b8b5f68772ccf8ca	5a46ba66e6d4bf4beb042c8257e9186c3e065595	d17ef8963790b2cc9f7b611b41e742673a9c659a	PRH,ALT,PATHD	CE
M	src/agents/subagent-registry.test.ts		integrated-with-upstream: PATHD equals pre-rebase ALT; CE has replayed/current form	0f5fba90a6cb57db7cfa7cda582961f9fb300f0f	cdef3920a309a3174aee03420627248611809e1a	0f5fba90a6cb57db7cfa7cda582961f9fb300f0f	0f5fba90a6cb57db7cfa7cda582961f9fb300f0f	77bb4c9833eca23807b782450fe4979dc3a69731	e1c153de60f286ec9c897282be77297eb19e318e	PRH,ALT,PATHD	CE
M	src/agents/subagent-session-reconciliation.ts		integrated-with-upstream: CE matches current UPS	c7b68739fdc483b156c6e8543ece36b1d00daf50	947dc976720d69879aea0f6312bcdd227c7d187b	947dc976720d69879aea0f6312bcdd227c7d187b	c7b68739fdc483b156c6e8543ece36b1d00daf50	947dc976720d69879aea0f6312bcdd227c7d187b	947dc976720d69879aea0f6312bcdd227c7d187b	PRH,PATHD	ANC,ALT,UPS,CE
